,State,County,Democratic,Republican,Party
69,UT,box elder,11974.356122034345,15064.557469111616,0
70,FL,columbia,9768.128201805048,7909.895785024324,0
71,TX,edwards,2265.9419162104023,0.0,0
72,MI,iron,1832.3968430160676,5114.819494468255,0
73,IN,bartholomew,25415.792732260914,16124.86635235544,0
74,MT,treasure,771.1629840213136,0.0,0
75,FL,liberty,0.0,0.0,0
76,WV,brooke,5557.135812700726,12362.403284503864,0
77,TX,ward,0.0,9787.55808886933,0
78,WA,skamania,5128.2571677293345,1691.4704223641347,0
79,VA,caroline,3586.31145760871,236.2471531923875,0
80,VA,floyd,1788.9512086533396,4790.340396245807,0
81,MI,dickinson,9479.200641148305,14578.594527280053,0
82,MA,dukes,21975.043492500794,15441.426880499712,1
83,MT,richland,828.156351570884,12368.525037148313,0
84,TX,trinity,0.0,22.40739384114204,0
85,TN,clay,0.0,417.6426556861734,0
86,NE,howard,2314.9282808423122,1562.4341947236026,0
87,WV,putnam,16906.331001188406,20284.591480741812,0
88,WY,laramie,26394.33812969463,28155.366767257023,1
89,VT,lamoille,21164.074032905275,4243.53974440855,1
90,WI,green,10614.75967321116,11879.004242969344,0
91,TX,childress,0.0,744.8728547930805,0
92,MA,hampden,100528.6526191024,71223.55386854634,0
93,FL,hardee,0.0,0.0,0
94,OH,allen,19027.915437556047,19780.770892470027,0
95,NM,colfax,3034.472093970762,8549.444094400871,0
96,NV,pershing,0.0,0.0,0
97,WI,vilas,11179.361430597623,7294.375344292923,0
98,TX,gillespie,18030.350231444812,17247.44578389612,1
99,WV,cabell,26354.83143307095,21493.687548180194,0
100,TX,cameron,78764.94422913177,48331.403590660244,0
101,MI,clare,0.0,9718.888900642198,0
102,UT,davis,81314.90517051693,62608.13982686978,1
103,NY,dutchess,72414.33600690926,53497.3877084003,1
104,TX,motley,0.0,4603.028358671705,0
105,VA,henrico,83384.8183583934,45836.97521630893,1
106,MN,grant,1504.0057533720428,3998.0909622929394,0
107,VA,rappahannock,13373.693488540452,7045.703097470838,0
108,NM,taos,11951.082308350731,7905.113806722198,0
109,TX,smith,48093.1729865384,28309.35305934604,0
110,MN,yellow medicine,0.0,5166.081442558319,0
111,MN,pipestone,2312.8933652653177,7178.431244023275,0
112,TX,somervell,759.1339243287766,0.0,0
113,IN,benton,0.0,0.0,0
114,WV,hampshire,0.0,658.9984060189745,0
115,PA,columbia,15681.632060404167,15483.859224574215,0
116,TX,ector,23761.499191924693,26540.22747312946,0
117,MD,howard,98202.44871216115,66726.55183392829,1
118,TN,jefferson,7484.219809934071,13339.024230495274,0
119,VA,manassas city,14865.841584671201,3408.769140501914,1
120,MN,scott,45101.4258861035,41806.18788002319,1
121,PA,northampton,68262.63023520676,55854.971155032035,1
122,TN,fentress,0.0,1254.8757817987243,0
123,TN,dyer,6389.058414551862,8237.0844465016,0
124,WI,burnett,2442.0743282949807,3088.3558092959283,0
125,NJ,monmouth,148764.9145293654,108057.69045557677,1
126,IN,brown,6944.244141873543,9278.439316031048,0
127,TX,chambers,7408.163904015892,11309.270823076416,0
128,VA,roanoke city,22035.71089372925,9574.712133295543,0
129,NY,putnam,36641.070085829604,42276.21916353503,1
130,NM,san juan,18373.112921028922,23077.220424466723,0
131,WY,crook,3320.2938212881563,5191.070303604334,0
132,MI,ingham,74281.3816058204,39967.02352238938,1
133,TN,obion,3503.4731409296037,6865.896600811991,0
134,PA,franklin,31507.087862867647,32540.465530969086,0
135,MT,lake,9954.489753656864,2516.1371312140654,0
136,UT,cache,39682.63544680576,20105.476495344858,1
137,OH,fayette,1580.4954025481275,7639.179636278075,0
138,VA,accomack,4235.933480733165,0.0,0
139,FL,pasco,102031.95454046287,74066.26154507858,0
140,NY,nassau,296950.28932850226,201074.82210194008,1
141,ND,towner,0.0,2718.454658345465,0
142,IN,kosciusko,17449.66956872318,19527.317745364628,0
143,NE,colfax,0.0,0.0,0
144,TX,frio,0.0,7182.966517074949,0
145,MT,madison,8528.619590852406,3525.7400011827813,0
146,WA,island,26975.59981731143,22702.146403898587,1
147,TX,andrews,0.0,13222.936218289606,0
148,TN,hardin,0.0,11296.349973325801,0
149,NE,dundy,712.3700610973247,0.0,0
150,VA,chesapeake city,55472.909641995226,39939.13818210257,1
151,NE,hayes,1599.8372646421521,0.0,0
152,TX,parmer,0.0,0.0,0
153,NE,buffalo,22758.96426040504,14171.454628995569,1
154,PA,carbon,9958.046447168166,18827.20729203843,0
155,NJ,atlantic,59905.127240710746,38426.24180224267,0
156,TX,kimble,0.0,12542.805347176094,0
157,NE,seward,10679.703105386216,12996.239633140307,0
158,OH,lake,53643.12995456565,47214.73273862287,0
159,TX,tom green,24517.37523443401,21786.124598086466,0
160,TX,mason,3954.422793178419,0.0,0
161,NV,humboldt,0.0,11423.337665707491,0
162,IN,noble,4560.320681777001,8097.945791078935,0
163,WI,dunn,15892.870246274255,10409.847474309065,0
164,NY,lewis,2124.845474459311,5524.917986911118,0
165,IN,orange,0.0,1179.2899509349882,0
166,TN,crockett,0.0,0.0,0
167,MT,beaverhead,13006.946357600844,4991.690929917411,0
168,MN,le sueur,7129.636114079789,13336.962880216923,0
169,MI,berrien,37783.97649675537,23111.998456678284,0
170,NY,otsego,21030.9530790243,12887.901449796314,0
171,TX,matagorda,1101.084638529952,833.1922513467798,0
172,OH,marion,6750.537165466289,17382.665200542062,0
173,WI,washburn,5564.993181241782,6045.2150702926865,0
174,TN,cocke,0.0,7729.763115022421,0
175,TX,orange,12512.484626519248,16810.082264729608,0
176,MT,yellowstone,40591.183642314805,34992.93571794338,0
177,MD,carroll,46527.00453891023,48882.89013670519,1
178,UT,wayne,9958.73785868661,0.0,0
179,WY,park,17388.21930335417,18923.23611361086,1
180,PA,pike,16100.244911393876,15230.634898320634,0
181,MI,lenawee,20419.260708744077,20452.101030131365,0
182,NJ,burlington,105784.65539974603,79805.97082096509,1
183,WI,iowa,8317.517773522595,8106.511067498159,0
184,PA,huntingdon,5056.766102664005,9863.1176565524,0
185,PA,berks,87402.5589232962,67560.88388215401,0
186,IN,knox,4073.6274420410627,10849.680517032699,0
187,ND,ramsey,4273.548637765107,10969.277106215099,0
188,WA,klickitat,8433.029238313567,9963.690733086618,0
189,TX,howard,0.0,12828.961520250914,0
190,MD,queen anne's,23255.692273196182,30145.629518554735,1
191,VA,buckingham,0.0,0.0,0
192,VA,rockingham,20628.28751971154,20433.044510770003,0
193,IN,henry,6847.576878118132,17119.727612095216,0
194,CT,litchfield,50804.56502649949,45036.39567986432,1
195,PA,erie,63887.59391004806,44436.45536389079,0
196,NY,albany,80684.29774589249,51026.78006846087,1
197,PA,bucks,144648.28145833954,108036.50669406612,1
198,WI,buffalo,1751.6500352373914,1846.1689299188802,0
199,PA,mckean,6725.059893647005,10203.406857002228,0
200,NJ,cape may,29315.361388458987,36310.57436238219,1
201,TN,haywood,0.0,0.0,0
202,PA,fulton,0.0,3173.610306202412,0
203,TX,jim wells,0.0,9699.930992876947,0
204,TX,lee,0.0,1847.5202090858402,0
205,TX,williamson,116607.43785763305,79277.34962326278,1
206,TN,knox,106413.8364365705,70037.90897548189,1
207,IN,putnam,3519.7163332144555,9884.55151435495,0
208,OH,noble,0.0,12575.530987457241,0
209,WY,big horn,2089.4463053552026,0.0,0
210,MI,ionia,9330.57316110589,13095.156450088822,0
211,IN,daviess,1694.503370936247,12246.777915858123,0
212,VA,cumberland,0.0,0.0,0
213,ME,waldo,17555.88310160399,7579.665940453497,0
214,TN,scott,0.0,5308.5926587416,0
215,NE,stanton,801.6003849569424,3752.7565512111905,0
216,MN,sherburne,24727.490704147545,27882.84303996056,1
217,NE,boyd,1059.1356291468073,0.0,0
218,NY,orleans,4983.829495584672,8355.472292611674,0
219,WI,vernon,8212.55768348711,6996.535122187872,0
220,WI,oconto,4735.682763984758,9816.58956627542,0
221,VA,louisa,8403.125123993872,3998.2228685366717,0
222,ME,aroostook,13473.111545009646,6713.899577529879,0
223,FL,sumter,32518.92287131991,48355.273088046524,0
224,TX,newton,0.0,0.0,0
225,MN,cook,19645.398221157036,3676.3555235176573,1
226,TX,brooks,0.0,4804.212223226859,0
227,WY,hot springs,3986.2604209210876,15351.402336148376,0
228,MI,kalkaska,0.0,4743.9717374212705,0
229,FL,levy,119.67151295689473,741.119891180293,0
230,WV,harrison,16408.200919523166,20559.447006316426,0
231,PA,butler,50901.10497049232,42374.64382317805,1
232,WI,price,191.9805092765273,366.3148893374346,0
233,WI,shawano,4654.664226549812,7678.9909707540555,0
234,TN,carter,9186.334035071166,15447.372450630868,0
235,NY,genesee,13660.141099053924,14280.372863339177,0
236,MT,missoula,44202.487234309214,28316.97290831591,1
237,NY,jefferson,24846.24220607895,19193.715002801247,0
238,MN,itasca,11990.913684594367,11116.385204182578,0
239,ND,williams,7810.422499385721,26604.050480004527,1
240,WY,sheridan,16076.32666031822,16806.565453830408,0
241,NE,garden,2822.0419910691126,0.0,0
242,TX,coleman,0.0,9725.16310555233,0
243,ND,ward,19872.91971159175,19279.019433336398,0
244,OH,wood,37658.43855762829,28282.362400295515,1
245,WV,wirt,0.0,0.0,0
246,NE,box butte,0.0,11995.171526842803,0
247,NM,los alamos,43419.870910411475,46715.90935099225,1
248,NY,bronx,289189.9306372759,159202.5615265067,0
249,NM,sierra,0.0,16974.221694710173,0
250,FL,palm beach,297791.25843657384,182556.1012146709,1
251,TX,haskell,0.0,4789.345334839993,0
252,MI,midland,29619.08242732205,23212.55970878259,1
253,NE,blaine,5827.8909796674525,0.0,0
254,VA,bedford,23228.22228843272,17236.525775804228,0
255,OH,paulding,0.0,1446.4660833960152,0
256,UT,millard,2372.603230050492,0.0,0
257,NJ,essex,171492.32122586152,90217.66073900854,1
258,TN,humphreys,0.0,4115.058594848375,0
259,UT,washington,38295.03100635711,32847.468785032805,0
260,TX,briscoe,2232.305302476012,0.0,0
261,TX,wise,9341.813118132424,9450.456978819388,0
262,FL,volusia,106460.95348687842,74453.2445421301,0
263,PA,schuylkill,26029.304626776317,30671.62383870635,0
264,TX,willacy,0.0,1033.2203078712591,0
265,CT,new london,66448.07654853273,51771.274683170464,1
266,TX,kinney,0.0,7065.962149863741,0
267,NE,saline,0.0,0.0,0
268,MI,tuscola,6107.16421229393,8099.231801880625,0
269,ND,slope,9291.465243629846,10369.538310356007,0
270,TX,val verde,3866.1084862776333,6929.484787385387,0
271,WI,fond du lac,22970.123506390122,23484.97293782909,0
272,VA,powhatan,13052.179770086475,14958.085323291547,1
273,ND,richland,5434.0263506772535,11317.607372947445,0
274,VA,york,33954.798034185595,33031.110640969535,1
275,MN,dodge,7832.4359407264055,14236.107652625806,1
276,TX,dickens,0.0,4011.963717149585,0
277,FL,jefferson,748.1172543875218,0.0,0
278,TX,titus,148.92739279178932,0.0,0
279,MN,lyon,11782.856669818815,4186.112169843756,0
280,TX,hall,0.0,0.0,0
281,IN,spencer,472.9490717321496,4454.868541044503,0
282,WI,marquette,0.0,3272.198419843484,0
283,MI,allegan,24805.442571796924,20022.82143587133,0
284,ME,kennebec,30477.474902309557,22109.271570945082,0
285,TX,hidalgo,162934.7458714646,98921.58090153745,0
286,MD,montgomery,242133.63679301814,144803.71972376417,1
287,OH,wyandot,274.29504029321106,8709.255781661162,0
288,UT,summit,37105.48732091656,30232.335544222165,1
289,UT,rich,1216.2299925451152,0.0,0
290,VA,clarke,11971.627565132763,19224.804045646215,1
291,NE,kearney,5468.070863028079,9050.068740397353,0
292,PA,mifflin,3125.760033191622,13260.576237001113,0
293,MI,charlevoix,14072.636623624503,12562.107181762112,0
294,TX,walker,12629.391637731853,0.0,0
295,NE,thurston,0.0,0.0,0
296,ND,traill,8855.662425020604,2701.468297621879,0
297,IN,clinton,1945.4457196867334,6033.991874604535,0
298,ME,sagadahoc,20436.126261429137,15688.01388691282,1
299,AZ,greenlee,0.0,4791.856651667018,0
300,OH,meigs,0.0,7102.386722573201,0
301,VA,hanover,35805.32400745034,35356.870147286376,1
302,MT,chouteau,5623.9872401592365,0.0,0
303,WI,sauk,15579.870870981644,17286.497666397423,0
304,ND,mchenry,2344.1113622136254,6036.503136660749,0
305,TX,concho,0.0,0.0,0
306,MN,todd,1242.2557477504452,3388.0734386653457,0
307,WV,mingo,0.0,8468.723089928877,0
308,MN,winona,19649.510608565804,15637.582947269155,0
309,VA,rockbridge,9971.891877866896,11102.4306541433,0
310,NY,rensselaer,41238.57498065483,34578.105784610685,1
311,MI,isabella,22625.42276316978,8705.269135080802,0
312,TX,wharton,1246.0128234092736,1286.0027158565354,0
313,MD,harford,63486.018861135555,54565.57878812107,1
314,OH,van wert,3859.5220968233916,11042.401807951239,0
315,TX,madison,0.0,0.0,0
316,TN,anderson,19789.62989610662,21083.977368400043,0
317,NM,lincoln,11287.02776702589,7173.438621734136,0
318,NJ,morris,129748.496284705,95133.03986918608,1
319,ND,oliver,0.0,11316.287078704074,0
320,NE,wayne,17596.758664343182,8618.3343854449,1
321,WA,asotin,6142.144819830901,20478.275738146378,0
322,WY,teton,35570.14808474062,18372.122979414362,1
323,TX,erath,15846.108633261989,3945.4195286869217,0
324,VT,grand isle,15640.464395108404,8910.52699598258,1
325,OH,morrow,1789.7887491184956,7676.71819339674,0
326,MN,kittson,2311.551384273036,1493.021084084845,0
327,NE,holt,3929.708302167117,4684.603087828276,0
328,VA,petersburg city,0.0,0.0,0
329,WV,hancock,5396.872990391057,13800.486624747671,0
330,MN,redwood,1502.1153792239165,5624.513403044124,0
331,MN,hennepin,272029.3277649532,170422.04180979374,1
332,TX,hansford,405.21448799328573,0.0,0
333,NE,greeley,0.0,0.0,0
334,TX,rains,0.0,5087.4114856794,0
335,MA,worcester,179631.98795595556,120294.47952641806,1
336,UT,weber,51866.733908084236,42424.06867879746,0
337,TX,delta,0.0,0.0,0
338,VA,waynesboro city,6686.676074977564,10492.776507510735,0
339,ME,piscataquis,1195.7787124339811,1604.3441831729579,0
340,MT,petroleum,2686.300685131104,0.0,0
341,WV,logan,0.0,11747.74316863054,0
342,TX,jefferson,48361.394329920906,23885.286531733196,0
343,VA,virginia beach city,103703.97950650514,68120.31286575725,1
344,IN,vermillion,0.0,6173.273338761324,0
345,MA,berkshire,38527.338800592515,32025.568003686334,1
346,VA,prince edward,6756.876143171681,0.0,0
347,NE,sioux,9468.641367388012,0.0,0
348,TX,presidio,2651.75817884356,0.0,0
349,IN,jennings,0.0,8187.867219053984,0
350,ND,sioux,0.0,0.0,0
351,NY,madison,21538.60094130314,17674.242057716336,0
352,NM,sandoval,34903.27735490099,34477.30100853913,1
353,TN,weakley,8637.730085164854,5346.553679303835,0
354,OH,montgomery,114248.93556276111,75830.88320618133,0
355,IN,miami,351.64344244962194,13263.186310759485,0
356,IN,newton,0.0,671.6102911228372,0
357,NE,sherman,0.0,0.0,0
358,ND,stark,10127.976598963854,23785.70591040628,1
359,WV,pleasants,0.0,11738.042370455396,0
360,TX,panola,0.0,0.0,0
361,WA,whitman,37904.3186275318,4783.661200335893,1
362,NM,hidalgo,0.0,0.0,0
363,TX,ochiltree,0.0,0.0,0
364,WV,nicholas,2011.8089139043404,5216.851108753648,0
365,ND,divide,3707.9101174112875,6522.128920451223,0
366,MT,garfield,0.0,0.0,0
367,VA,gloucester,9756.686467123262,13177.395097014896,0
368,VA,fauquier,25370.954754800357,29686.147081240444,1
369,OH,henry,2313.2374931021805,8724.574013857798,0
370,TN,union,0.0,2851.71261780693,0
371,NE,deuel,0.0,2814.6622454082462,0
372,TX,gregg,24568.50182249397,14278.5872102084,0
373,MI,kent,140983.4538446653,90152.2179850505,1
374,VA,fairfax city,34511.832989538445,25563.488014089726,1
375,IN,elkhart,39233.68851734214,32389.422466262487,0
376,NY,new york,369611.5955190358,222756.22024142256,1
377,VA,giles,378.61636436101253,8498.227271762613,0
378,WI,polk,9226.342619892082,8905.965775764878,0
379,ND,bottineau,2977.3002882698493,3167.7981916125245,0
380,WI,richland,2441.549110122505,4305.963118355292,0
381,IN,wabash,5775.478314108765,13082.64970878381,0
382,OH,champaign,5275.142389893059,11675.920914357803,0
383,UT,emery,0.0,0.0,0
384,MN,olmsted,50770.54894453067,33216.97491638649,1
385,MI,kalamazoo,67803.26967350929,41348.28649166375,1
386,MN,marshall,2412.5790247149343,5004.538762905922,0
387,TX,roberts,11142.506275404678,8777.994591045299,1
388,TN,trousdale,0.0,0.0,0
389,TX,kleberg,8103.91990185067,14203.506925530572,0
390,PA,blair,26238.344820655653,27325.44358441475,0
391,FL,hernando,32868.9592482877,35828.30788967301,0
392,WA,kitsap,62434.2125456817,50898.19614168872,1
393,OH,franklin,268142.18885888014,164072.08000858582,1
394,TX,cass,945.9058109582984,0.0,0
395,VT,chittenden,60413.89935945471,37586.30928961876,1
396,OH,butler,84747.20452177533,62513.99608105006,0
397,NE,franklin,399.9680422068195,1646.807078323196,0
398,MD,cecil,22930.346324202226,28074.604562719185,0
399,NY,yates,8863.860324227746,11000.917715267176,0
